COD_MUNICIPIO_RES_7,ANIO_REGISTRO,MES_REGISTRO,TEMPERATURA,HUMEDAD_RELATIVA
1304203,2014,1,24.666,99.024
1304260,2004,6,23.49,96.417
1400100,2014,1,25.577,85.605
1400100,2014,11,24.854,95.317
1400175,2004,11,24.55,96.658
1400175,2007,9,24.265,95.733
1400209,2009,7,24.685,96.508
1400209,2014,5,25.064,97.871
1400282,2004,2,23.138,88.948
1400282,2008,6,22.981,98.833
1400506,2012,12,24.665,98.96
1400506,2014,7,24.605,96.895
1500107,2005,1,25.924,97.605
1500107,2006,7,25.715,88.734
1500602,2004,12,25.397,95.266
1500602,2015,10,30.188,62.597
1500859,2004,7,24.857,94.113
1500909,2005,12,26.353,89.169
1500909,2007,10,29.107,78.524
1500909,2012,10,29.321,73.565
1501725,2004,7,24.67,96.621
1501725,2007,8,25.418,96.145
1501725,2015,6,25.462,96.042
1501782,2009,3,25.331,100.218
1501808,2006,5,25.687,95.968
1502103,2004,5,25.431,96.597
1502202,2006,8,28.913,74.29
1502400,2010,8,26.324,87.403
1502509,2015,7,26.016,86.637
1502707,2008,7,26.56,49.145
1502756,2015,10,30.969,60.508
1502806,2012,4,25.906,98.525
1503093,2011,10,25.73,96.524
1503606,2005,6,25.529,96.308
1503606,2007,8,26.502,84.742
1503606,2015,1,25.428,99.21
1504000,2010,7,26.277,95.411
1504208,2014,12,25.037,99.339
1504505,2011,3,25.581,98.782
1504505,2014,6,26.176,97.175
1504505,2014,11,30.603,75.317
1505031,2010,7,26.327,71.081
1505031,2015,6,25.258,86.642
1505064,2010,8,27.979,66.298
1505486,2008,4,25.088,99.792
1506005,2003,2,25.28,101.259
1506005,2011,2,24.766,100.25
1507102,2005,12,26.097,89.169
1507102,2009,3,25.763,93.661
1507102,2009,8,27.046,76.435
1507458,2003,10,27.619,53.677
1507458,2013,7,25.545,66.234
1507953,2004,4,25.495,99.392
1508001,2010,4,26.224,100.35
1600154,2011,12,25.51,90.0
1600279,2005,11,26.812,80.967
1600402,2011,12,26.368,90.0
1600501,2014,10,28.2,81.056
1600808,2014,3,25.172,100.863
1702109,2003,5,24.78,89.952
1702109,2004,9,30.398,33.95
1702109,2004,12,24.866,98.403
1705508,2009,8,29.935,46.403
1709500,2003,6,24.709,53.483
1709500,2010,9,30.495,31.975
2100055,2010,5,25.757,97.718
2101251,2004,1,26.345,92.177
2101251,2010,4,26.996,93.408
2102150,2003,12,25.24,97.532
2102705,2008,2,25.132,87.767
2102705,2014,4,26.262,94.8
2103000,2007,9,31.534,44.067
2103000,2010,10,31.898,54.992
2104628,2004,11,29.61,63.967
2105005,2003,6,26.14,86.675
2105005,2009,8,29.348,72.105
2105476,2005,1,25.969,92.435
2105476,2009,6,24.885,89.55
2106326,2004,8,25.428,71.145
2106326,2006,3,25.379,92.879
2108058,2006,6,26.352,81.267
2108306,2007,2,26.29,92.321
2108306,2012,10,30.18,68.468
2108306,2014,2,25.991,94.714
2109601,2003,1,26.017,92.153
2109601,2005,2,26.642,92.455
2110302,2014,4,25.601,98.05
2111763,2014,12,24.834,98.573
2112209,2006,3,25.892,94.169
2112506,2009,4,26.264,93.258
2113009,2009,10,30.716,58.863
2203701,2012,4,25.893,95.733
2208403,2004,5,25.148,88.121
2304400,2015,12,-1031226088.413,84.185
2403251,2014,4,25.299,88.95
2408102,2011,2,25.217,87.063
2504009,2013,1,28.623,78.597
2600054,2012,6,24.035,98.367
2600054,2014,11,26.388,83.408
2601102,2004,6,25.789,73.983
2601102,2007,11,30.175,54.692
2604106,2012,8,23.081,87.548
2700300,2003,6,24.417,95.8
2801207,2015,7,23.805,98.379
2927408,2009,9,23.916,90.542
2927408,2012,3,26.425,85.798
2927408,2014,11,24.073,92.217
2927408,2015,11,26.845,82.567
2929305,2014,12,24.086,89.815
3102605,2006,7,17.519,70.306
3102605,2014,7,16.828,77.387
3106200,2007,10,22.926,71.371
3106200,2009,11,22.483,96.067
3106200,2011,6,18.344,70.975
3106705,2004,11,21.35,84.425
3109709,2009,3,21.897,96.911
3109709,2014,12,21.752,94.169
3115300,2007,4,22.419,91.933
3115300,2009,9,23.685,79.608
3115300,2015,3,23.054,93.637
3131703,2006,10,21.738,84.113
3131703,2010,7,19.381,81.903
3133808,2005,8,20.72,50.298
3136702,2014,1,23.755,92.177
3147402,2015,10,25.297,61.911
3151800,2009,2,22.145,97.714
3167202,2003,2,20.934,93.277
3170107,2003,1,23.714,95.831
3170404,2009,6,21.305,74.592
3170404,2015,5,21.202,91.919
3201308,2006,12,23.467,92.532
3201308,2014,11,22.953,90.342
3205002,2007,9,-1032300282.255,87.658
3302502,2003,11,21.816,93.017
3303906,2003,7,19.785,82.895
3303906,2006,10,21.82,87.161
3303906,2007,10,22.71,86.306
3303906,2011,5,19.465,90.637
3303906,2011,11,20.854,88.7
3303906,2012,9,22.512,76.342
3304557,2013,7,-1031226088.413,85.806
3305752,2003,9,21.336,85.733
3305752,2013,11,21.751,92.458
3305752,2014,8,20.547,80.798
3306305,2014,9,21.961,70.408
3501608,2011,7,17.545,70.79
3501608,2013,12,21.457,96.234
3517802,2012,7,19.016,61.839
3522505,2010,3,22.477,97.516
3523701,2009,4,19.997,93.158
3524402,2005,12,21.345,93.694
3524402,2014,11,22.198,91.483
3525904,2009,2,23.43,97.714
3525904,2010,12,22.554,97.468
3529005,2005,4,23.382,91.975
3529005,2005,8,21.705,54.468
3535309,2008,4,22.264,93.833
3548500,2008,1,22.101,97.524
3549102,2010,7,18.135,77.629
3552205,2003,4,21.432,93.842
3555406,2007,6,-1032300282.255,76.908
4104808,2006,12,24.071,94.629
4104808,2012,10,22.736,80.081
4105904,2008,8,22.367,63.121
4105904,2012,1,23.614,93.024
4105904,2012,6,19.361,92.767
4106605,2009,12,23.169,93.984
4113700,2004,2,20.892,92.319
4113700,2013,9,20.518,62.517
4115200,2005,8,19.186,53.79
4117909,2006,9,22.286,69.475
4119905,2012,7,13.705,82.323
4121257,2015,11,23.284,95.65
4304705,2008,1,20.5,93.685
4316600,2003,6,15.143,93.475
4321402,2005,7,13.88,88.234
4321402,2009,1,22.035,91.323
5002704,2010,1,24.848,95.629
5100201,2003,3,24.362,93.161
5100250,2009,12,24.369,98.371
5100250,2012,7,26.137,51.226
5101258,2009,3,25.826,96.685
5102504,2007,12,25.534,98.645
5102702,2009,6,23.859,69.842
5104542,2009,6,23.838,80.05
5105150,2009,1,24.772,97.331
5105176,2003,2,24.665,98.902
5105259,2010,10,25.061,89.798
5106299,2007,8,29.543,40.024
5106422,2010,1,24.367,99.677
5108055,2015,5,24.171,93.315
5204508,2014,12,23.01,95.435
5220454,2004,5,21.566,89.468
5220454,2010,4,22.392,87.933
5221858,2003,10,25.829,48.911
1100106,2011,2,24.658,98.884
1100189,2004,5,21.775,96.073
1100189,2009,5,23.415,97.444
1100205,2003,5,25.639,96.806
1100940,2010,6,25.963,83.475
1200104,2003,2,26.146,98.786
1200104,2006,12,26.985,92.573
1200302,2011,6,25.553,93.292
1200302,2014,12,26.777,96.855
1200328,2015,12,26.688,99.363
1200336,2008,2,24.896,88.871
1200351,2008,7,25.157,92.548
1200609,2010,10,27.996,89.145
1300102,2003,4,26.567,92.283
1300144,2010,4,25.8,97.558
1300607,2015,4,26.408,100.367
1300631,2005,11,26.643,96.55
1300631,2007,5,25.995,98.71
1300706,2003,5,23.604,99.863
1300706,2007,1,25.104,97.629
1300706,2011,8,24.032,89.242
1300805,2011,2,25.821,98.009
1301100,2008,1,25.43,96.46
1301209,2011,12,25.589,98.218
1301209,2014,4,25.319,99.125
1301407,2007,5,22.978,95.137
1301407,2008,4,23.869,96.517
1301704,2010,4,26.7,95.9
1301803,2008,7,23.32,87.258
1301803,2010,3,24.836,94.774
1301803,2014,7,23.42,88.363
1302405,2007,9,26.37,86.833
1302702,2003,11,25.978,96.417
1302702,2005,7,26.134,88.903
1302801,2008,5,24.84,98.218
1303106,2008,9,26.025,91.775
1303106,2014,2,25.945,99.563
1303502,2005,12,24.69,97.234
1303502,2006,8,24.878,86.226
1303536,2012,6,25.694,94.4
1303569,2007,9,25.842,92.392
1303569,2009,11,26.26,96.217
1303569,2011,7,25.755,91.435
1303601,2006,4,25.052,98.358
1304062,2007,7,25.058,96.04
1304104,2009,10,25.682,95.073
1304203,2010,2,25.441,99.375
1304260,2005,11,25.194,96.475
1304260,2009,9,24.867,95.158
1400159,2011,9,24.69,95.875
1400159,2012,8,24.534,96.419
1400209,2010,4,25.526,97.792
1400233,2012,11,25.016,97.817
1400407,2010,1,25.255,81.589
1400506,2013,3,24.96,99.556
1500909,2011,7,25.969,87.315
1501204,2005,6,25.137,95.383
1501402,2007,1,26.037,96.081
1501402,2011,1,25.739,99.081
1501402,2011,7,25.836,95.984
1501501,2005,10,29.494,69.806
1501725,2009,2,25.318,101.08
1501782,2005,5,25.456,95.742
1501808,2005,2,25.929,98.518
1501808,2015,6,26.102,94.283
1501907,2013,12,26.331,93.169
1502400,2009,2,25.769,100.179
1502400,2013,4,26.239,99.3
1502509,2010,8,25.974,88.774
1502756,2011,4,25.532,99.658
1502756,2011,9,26.0,85.342
1502772,2012,6,24.691,96.325
1503077,2004,12,28.031,72.887
1503093,2008,4,24.901,99.792
1503606,2008,7,25.744,85.726
1503606,2015,11,26.773,94.083
1503705,2009,2,25.105,101.0
1504505,2011,2,25.476,99.286
1504505,2012,8,25.912,91.242
1505064,2005,1,25.079,99.395
1505205,2003,5,25.515,96.306
1505486,2015,10,28.868,69.387
1505502,2008,5,25.315,99.581
1505502,2009,4,25.476,100.975
1505502,2014,12,26.102,87.274
1505536,2011,10,25.095,96.524
1505908,2014,5,25.497,99.548
1506138,2007,12,24.897,98.556
1506708,2005,11,25.538,93.433
1506807,2007,4,25.497,99.175
1507300,2012,6,24.045,91.875
1507458,2004,11,25.504,84.467
1508100,2008,12,25.444,99.645
1508100,2011,8,25.281,81.161
1508100,2015,3,25.378,100.226
1508159,2006,5,25.309,97.339
1508159,2010,8,26.389,94.573
1600402,2005,3,25.888,100.169
1600402,2008,7,25.605,97.653
1600501,2015,4,25.918,94.292
1600600,2004,5,25.862,92.839
1702109,2015,8,29.624,40.895
1703206,2003,4,24.787,96.508
1703206,2006,4,24.831,98.183
1705508,2003,5,24.463,89.952
1709500,2010,11,25.016,93.708
1709500,2014,10,28.693,61.919
2101251,2008,4,26.139,94.867
2101970,2006,8,28.913,67.726
2102705,2007,1,26.304,86.984
2102705,2007,10,31.398,62.524
2103604,2006,1,25.602,97.516
2104628,2003,12,25.24,97.532
2105005,2012,9,30.136,70.175
2105104,2008,10,31.275,66.218
2105302,2003,3,24.749,99.113
